tripID_,deviceID_,acceleration_mean,acceleration_std,gps_speed_max,gps_speed_mean,gps_speed_std,battery_mean,rpm_mean,rpm_max,speed_mean,tPos_mean,hard_brake_mean,high_speed_mean,high_throttle_mean,aggressive_acceleration_mean,inefficient_driving_mean,excessive_idling_mean,fuel_efficiency_mean,PCA1,PCA2,cluster
767,43,0.013513513513513514,2.6766020333662532,21.9,10.641891891891891,5.236541961464639,13.487837837837839,1048.527027027027,2165.0,16.527027027027028,17.12241653418124,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,1.6577780281933017,0.7456234486346115,1.254803138968554,2
767,45,-9.9,12.511867783949684,0.9,0.04,0.1761759764654203,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0,0.0,1.0,0.0,-3.270357754189558,1.142963613605473,1
767,53,-5.067982456140351,10.316624005246373,49.6,7.79780701754386,9.218795636223652,0.0,841.6134868421053,1991.0,11.103070175438596,3.185414516683867,0.31798245614035087,0.0,0.0,0.05921052631578947,0.0,0.46710526315789475,0.0,0.15760791849840844,0.31365373949839737,1
768,43,-0.11552346570397112,1.032625837328497,14.6,2.4653429602888086,3.8491045883363677,5.514440433212997,470.5054151624549,2333.0,3.7978339350180503,7.206059319034473,0.021660649819494584,0.0,0.0,0.0036101083032490976,0.0,0.5956678700361011,2.4374385736988375,-1.465148156047243,-0.20686121167331134,1
768,45,-4.986486486486487,10.36656010005412,1.1,0.0445945945945946,0.1945432951016598,0.0,0.0,0.0,0.0,0.0,0.20270270270270271,0.0,0.0,0.0,0.0,1.0,0.0,-3.171921074114259,0.06272688085423597,1
768,53,0.8198198198198198,6.8515210669816025,36.1,6.396396396396397,6.177430665376107,0.0,739.0908408408409,1610.0,10.525525525525525,3.3209680268503803,0.10810810810810811,0.0,0.0,0.16216216216216217,0.0,0.45045045045045046,0.0,-0.0955462546127033,-0.6568650815777408,1
769,43,0.0,0.0,0.9,0.06470588235294118,0.21725889170516233,11.74485294117647,0.0,0.0,0.0,17.254901960784316,0.0,0.0,0.0,0.0,0.0,0.0,1.5041053921568628,-1.7827918680283066,1.219208299953978,2
769,45,0.0,0.32063022053099893,1.8,0.09906976744186047,0.3474863942303055,0.0,189.0186046511628,935.5,0.08837209302325581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0115491748065217,-1.1967054765307146,1
769,53,-6.2924528301886795,10.331997080948742,23.9,6.403773584905661,6.34966291653516,0.0,678.4001572327044,1662.75,10.654088050314465,2.8967813540510545,0.3710691823899371,0.0,0.0,0.031446540880503145,0.0,0.46540880503144655,0.0,-0.7967666165073601,0.8381932276945605,2
770,43,0.08163265306122448,1.3922987992251283,28.5,7.387755102040816,5.851037818716656,14.132482993197279,1165.4285714285713,2169.0,11.952380952380953,16.0437508336668,0.02040816326530612,0.0,0.0,0.013605442176870748,0.0,0.0,6.243591345979068,0.7328833918769107,1.223382537149337,2
770,45,0.0,0.5964639392027239,10.0,0.5033492822966508,1.805237646169089,0.0,194.9377990430622,980.0,0.39712918660287083,0.0,0.0,0.0,0.0,0.0,0.0,0.9521531100478469,0.0,-2.7056461495238753,-1.2761706607528616,1
770,53,0.0,0.0,8.5,0.6585227272727273,1.167236580032614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727272727273,0.0,-2.990745274175498,-1.325940157508759,1
771,43,-0.02112676056338028,1.8120440088685095,39.8,8.852640845070423,10.011330092801913,9.609727112676056,887.9911971830986,2650.0,15.276408450704226,12.05399061032864,0.04225352112676056,0.0,0.0,0.045774647887323945,0.0,0.2904929577464789,1.506341520779474,0.8167408316316317,0.21947468316527477,0
771,45,0.05829145728643216,2.0586518354874688,55.5,14.939497487437185,10.077774904755977,0.0,1154.0165829145728,2103.5,26.694472361809044,0.0,0.04723618090452261,0.0,0.0,0.04522613065326633,0.0,0.1577889447236181,0.0,1.3089171749598671,-1.2362732250034951,0
771,53,0.0,1.1265757552560889,20.9,6.490390390390391,6.326597215610396,0.0,752.2759009009009,1863.5,10.373873873873874,3.03774362597892,0.018018018018018018,0.0,0.0,0.0075075075075075074,0.0,0.493993993993994,0.0,-0.8514324623843905,-0.9479355056481498,1
772,45,-0.0639470782800441,1.6357927611592786,52.509,21.28676085997795,13.49327970485718,0.0,1125.348401323043,2142.5,37.72105843439912,0.0,0.026460859977949284,0.0,0.0,0.015435501653803748,0.0,0.2326350606394708,0.0,1.8770845100543352,-1.5261614558440046,0
772,53,0.0,1.1290856641929756,21.0,6.2388429752066115,6.678459144134363,0.0,715.8280991735537,1755.5,9.644628099173554,3.5780262518230437,0.01818181818181818,0.0,0.0,0.013223140495867768,0.0,0.5305785123966942,0.0,-0.8811695140175281,-0.9608524469942205,1
773,45,0.0,0.9981668178901743,17.0,3.1956204379562045,5.330125435619152,0.0,392.6824817518248,1833.0,5.036496350364963,0.0,0.0072992700729927005,0.0,0.0,0.010948905109489052,0.0,0.7518248175182481,0.0,-1.778261481646116,-1.2820101395846741,1
773,53,-1.1015037593984962,16.470472080677084,27.6,7.515789473684211,6.904063251041331,0.0,775.140037593985,1594.75,12.139097744360901,4.34468524251806,0.17293233082706766,0.0,0.0,0.17669172932330826,0.0,0.40977443609022557,0.0,0.1307147138423351,0.11281564286164752,1
774,45,0.0,1.1096722709969857,17.0,2.769140625,4.667025004843379,0.0,367.642578125,1730.0,5.47265625,0.0,0.01171875,0.0,0.0,0.01953125,0.0,0.78125,0.0,-1.8498741639844525,-1.2699544960022768,1
774,53,0.0817490494296578,1.5647819205271452,36.1,8.481178707224336,8.540998454981878,0.0,727.1796577946768,1804.0,12.653992395437262,3.881309177663461,0.017110266159695818,0.0,0.0,0.024714828897338403,0.0,0.42775665399239543,0.0,-0.19970664992041545,-1.0916017254787567,1
775,43,0.1103202846975089,2.187284741387937,31.2,13.05017793594306,10.261534014238254,14.027224199288257,1522.9074733096086,2370.0,30.8576512455516,19.40269346172633,0.05693950177935943,0.0,0.0,0.03202846975088968,0.0,0.0,0.5512246239779279,2.1898835668409773,1.3044180626997253,0
775,45,0.8347107438016529,6.266773634864566,22.7,3.3024793388429754,6.488251726645595,0.0,380.3512396694215,1814.0,6.537190082644628,0.0,0.06611570247933884,0.0,0.0,0.08264462809917356,0.0,0.8264462809917356,0.0,-1.340822797709154,-1.1278184390614323,1
